dataset,seed,n_samples,name,mu_star,mu_star_conf
production,100,32,Resource Calendar ID0420,3053062.0916866357,1393508.3262294834
production,100,32,Resource Calendar ID0937,2228086.617655569,1106234.8611554862
production,100,32,Resource Calendar ID0997,4738328.2904652795,1793589.8635542719
production,100,32,Resource Calendar ID0998,2728888.503216221,1172751.8965336608
production,100,32,Resource Calendar ID3641,2583825.054788026,1165623.0234867665
production,100,32,Resource Calendar ID3716,2950287.8126670313,1489997.562910695
production,100,32,Resource Calendar ID3718,2740086.467556753,1396746.8714791676
production,100,32,Resource Calendar ID3846,3237843.991087728,1282219.8221758793
production,100,32,Resource Calendar ID3854,3165163.533919227,1050655.5111515268
production,100,32,Resource Calendar ID3998,3730630.1309825745,1733954.543808858
production,100,32,Resource Calendar ID4109,2423495.6670750156,851028.947509951
production,100,32,Resource Calendar ID4132,3568741.3613104858,1633664.0234439892
production,100,32,Resource Calendar ID4140,2789593.4508090597,1460851.0452233255
production,100,32,Resource Calendar ID4142,4099439.996172573,1914170.4730470753
production,100,32,Resource Calendar ID4160,3443190.347898784,2190113.411689094
production,100,32,Resource Calendar ID4162,2588213.6058401437,1267010.781375189
production,100,32,Resource Calendar ID4163,2917140.105153124,1476818.5724548881
production,100,32,Resource Calendar ID4167,3548524.874284805,1744354.241719085
production,100,32,Resource Calendar ID4219,5262521.02664892,2510176.9324314957
production,100,32,Resource Calendar ID4287,2759442.7410314293,1480886.4560102925
production,100,32,Resource Calendar ID4291,2859797.9125768854,1466457.9579074872
production,100,32,Resource Calendar ID4326,1757380.6198760509,774338.2721405393
production,100,32,Resource Calendar ID4355,3635108.117769019,1625386.1191723116
production,100,32,Resource Calendar ID4385,2134469.2289473703,1097441.9666324258
production,100,32,Resource Calendar ID4429,2812033.6488681273,1317728.277384982
production,100,32,Resource Calendar ID4442,3133038.392590395,1419632.5665741623
production,100,32,Resource Calendar ID4445,4593727.283660333,1050014.0614633288
production,100,32,Resource Calendar ID4491,2425241.4022884574,918614.3824805053
production,100,32,Resource Calendar ID4493,106326736.14128143,36320857.79414671
production,100,32,Resource Calendar ID4528,3960023.130853347,1318292.322264482
production,100,32,Resource Calendar ID4529,3188568.849054928,1472342.93629787
production,100,32,Resource Calendar ID4618,3024780.319733055,1385294.1499827502
production,100,32,Resource Calendar ID4622,3154922.774438861,1782026.8785826757
production,100,32,Resource Calendar ID4641,2990495.4979981794,1466386.9947418065
production,100,32,Resource Calendar ID4718,3351381.784764468,1895599.9866610728
production,100,32,Resource Calendar ID4783,2717149.3835466695,1944823.5570027435
production,100,32,Resource Calendar ID4794,4596258.404872827,1677964.7785665812
production,100,32,Resource Calendar ID4799,2014505.9061756039,871980.0174978524
production,100,32,Resource Calendar ID4820,2709907.36774017,1117901.2877160169
production,100,32,Resource Calendar ID4851,3005552.665111961,1315775.5612048577
production,100,32,Resource Calendar ID4872,2394000.0403519273,1073427.44677126
production,100,32,Resource Calendar ID4873,3733832.406801228,2153732.1347083356
production,100,32,Resource Calendar ID4882,2949417.3413077598,1528142.6798671393
production,100,32,Resource Calendar ID4890,3644544.711257094,1707754.727454281
production,100,32,Resource Calendar ID4932,3758969.538046768,1653019.9797019179
production,100,32,Resource Calendar ID4955,3599206.2887293827,1705647.1721788577
production,100,32,Resource Calendar Start,3252244.367087382,1590128.9680653573
production,200,32,Resource Calendar End,2344903.403979644,1231552.3712078778
production,200,32,Resource Calendar ID0420,1824096.192961203,954308.2142170712
production,200,32,Resource Calendar ID0937,2605249.111750581,1149479.931222186
